airline, id, source_airport, source_airport_id,destination_airport, destination_airport_id, codeshare,stops, equipment
A4,"4550",BYC,"2772",SRZ,"4247",,"0",SWM
A4,"4550",BYC,"2772",TJA,"2768",,"0",SWM
A4,"4550",CBB,"2759",TDD,"2769",,"0",SWM
A4,"4550",CIJ,"2761",TDD,"2769",,"0",SWM
A4,"4550",GYA,"6056",TDD,"2769",,"0",SWM
A4,"4550",LPB,"2762",POI,"2764",,"0",SWM
A4,"4550",LPB,"2762",SRZ,"4247",,"0",SWM
A4,"4550",LPB,"2762",TDD,"2769",,"0",SWM
A4,"4550",ORU,\N,CBB,"2759",,"0",SWM
A4,"4550",ORU,\N,SRZ,"4247",,"0",SWM
A4,"4550",POI,"2764",LPB,"2762",,"0",SWM
A4,"4550",RIB,"6058",TDD,"2769",,"0",SWM
A4,"4550",SRZ,"4247",BYC,"2772",,"0",SWM
A4,"4550",SRZ,"4247",LPB,"2762",,"0",SWM
A4,"4550",SRZ,"4247",ORU,\N,,"0",SWM
A4,"4550",SRZ,"4247",TDD,"2769",,"0",SWM
A4,"4550",TDD,"2769",CBB,"2759",,"0",SWM
A4,"4550",TDD,"2769",CIJ,"2761",,"0",SWM
A4,"4550",TDD,"2769",GYA,"6056",,"0",SWM
A4,"4550",TDD,"2769",LPB,"2762",,"0",SWM
A4,"4550",TDD,"2769",RIB,"6058",,"0",SWM
A4,"4550",TDD,"2769",SRZ,"4247",,"0",SWM
A4,"4550",TJA,"2768",BYC,"2772",,"0",SWM
AA,"24",LPB,"2762",VVI,"2771",,"0","757"
LA,"3200",LPB,"2762",VVI,"2771",Y,"0","319"
LA,"3200",VVI,"2771",LPB,"2762",,"0","319"
OB,"462",CBB,"2759",CIJ,"2761",,"0","733"
OB,"462",CBB,"2759",LPB,"2762",,"0","733"
OB,"462",CBB,"2759",SRE,"2767",,"0","733"
OB,"462",CBB,"2759",TJA,"2768",,"0","733"
OB,"462",CBB,"2759",VVI,"2771",,"0",733 762
OB,"462",CIJ,"2761",CBB,"2759",,"0","733"
OB,"462",LPB,"2762",CBB,"2759",,"0","733"
OB,"462",LPB,"2762",CIJ,"2761",,"0","733"
OB,"462",LPB,"2762",SRE,"2767",,"0","733"
OB,"462",LPB,"2762",TJA,"2768",,"0","733"
OB,"462",LPB,"2762",VVI,"2771",,"0","733"
OB,"462",SRE,"2767",CBB,"2759",,"0","733"
OB,"462",SRE,"2767",LPB,"2762",,"0","733"
OB,"462",SRE,"2767",VVI,"2771",,"0","733"
OB,"462",TJA,"2768",CBB,"2759",,"0","733"
OB,"462",TJA,"2768",LPB,"2762",,"0","733"
OB,"462",TJA,"2768",VVI,"2771",,"0","733"
OB,"462",VVI,"2771",CBB,"2759",,"0",762 733
OB,"462",VVI,"2771",LPB,"2762",,"0","733"
OB,"462",VVI,"2771",SRE,"2767",,"0","733"
OB,"462",VVI,"2771",TJA,"2768",,"0","733"
US,"5265",LPB,"2762",VVI,"2771",,"0","757"
Z8,"603",BYC,"2772",SRZ,"4247",,"0",SWM
Z8,"603",BYC,"2772",TJA,"2768",,"0",SWM
Z8,"603",CBB,"2759",LPB,"2762",,"0",CRJ
Z8,"603",CBB,"2759",VVI,"2771",,"0",CRJ
Z8,"603",LPB,"2762",CBB,"2759",,"0",CRJ
Z8,"603",LPB,"2762",POI,"2764",,"0",SWM
Z8,"603",LPB,"2762",RBQ,"7317",,"0",SWM CRJ
Z8,"603",LPB,"2762",SRE,"2767",,"0",CRJ
Z8,"603",LPB,"2762",TJA,"2768",,"0",CRJ
Z8,"603",LPB,"2762",UYU,"7313",,"0",CRJ
Z8,"603",LPB,"2762",VVI,"2771",,"0",CRJ
Z8,"603",ORU,\N,CBB,"2759",,"0",SWM
Z8,"603",ORU,\N,SRZ,"4247",,"0",SWM
Z8,"603",POI,"2764",LPB,"2762",,"0",SWM
Z8,"603",RBQ,"7317",LPB,"2762",,"0",SWM CRJ
Z8,"603",RBQ,"7317",TDD,"2769",,"0",SWM
Z8,"603",SRE,"2767",LPB,"2762",,"0",CRJ
Z8,"603",SRE,"2767",TJA,"2768",,"0",CRJ
Z8,"603",SRE,"2767",VVI,"2771",,"0",CRJ
Z8,"603",SRZ,"4247",BYC,"2772",,"0",SWM
Z8,"603",SRZ,"4247",ORU,\N,,"0",SWM
Z8,"603",SRZ,"4247",TDD,"2769",,"0",SWM
Z8,"603",TDD,"2769",RBQ,"7317",,"0",SWM
Z8,"603",TDD,"2769",SRZ,"4247",,"0",SWM
Z8,"603",TJA,"2768",BYC,"2772",,"0",SWM
Z8,"603",TJA,"2768",LPB,"2762",,"0",CRJ
Z8,"603",TJA,"2768",SRE,"2767",,"0",CRJ
Z8,"603",TJA,"2768",VVI,"2771",,"0",CRJ
Z8,"603",UYU,"7313",LPB,"2762",,"0",CRJ
Z8,"603",VVI,"2771",CBB,"2759",,"0",CRJ
Z8,"603",VVI,"2771",LPB,"2762",,"0",CRJ
Z8,"603",VVI,"2771",SRE,"2767",,"0",CRJ
Z8,"603",VVI,"2771",TJA,"2768",,"0",CRJ
